[5, 0, 3, 3, 7, 9, 3, 5, 2, 4]
[7, 6, 8, 8, 1, 6, 7, 7, 8, 1]
[5, 9, 8, 9, 4, 3, 0, 3, 5, 0]
[2, 3, 8, 1, 3, 3, 3, 7, 0, 1]
[9, 9, 0, 4, 7, 3, 2, 7, 2, 0]
[0, 4, 5, 5, 6, 8, 4, 1, 4, 9]
[8, 1, 1, 7, 9, 9, 3, 6, 7, 2]
[0, 3, 5, 9, 4, 4, 6, 4, 4, 3]
[4, 4, 8, 4, 3, 7, 5, 5, 0, 1]
[5, 9, 3, 0, 5, 0, 1, 2, 4, 2]
@
[0, 3, 2, 0, 7, 5, 9, 0, 2, 7]
[2, 9, 2, 3, 3, 2, 3, 4, 1, 2]
[9, 1, 4, 6, 8, 2, 3, 0, 0, 6]
[0, 6, 3, 3, 8, 8, 8, 2, 3, 2]
[0, 8, 8, 3, 8, 2, 8, 4, 3, 0]
[4, 3, 6, 9, 8, 0, 8, 5, 9, 0]
[9, 6, 5, 3, 1, 8, 0, 4, 9, 6]
[5, 7, 8, 8, 9, 2, 8, 6, 6, 9]
[1, 6, 8, 8, 3, 2, 3, 6, 3, 6]
[5, 7, 0, 8, 4, 6, 5, 8, 2, 3]
=
[137, 212, 212, 226, 281, 131, 272, 165, 192, 146]
[219, 303, 281, 296, 349, 221, 310, 200, 232, 281]
[122, 250, 201, 205, 296, 155, 263, 133, 118, 176]
[157, 154, 158, 169, 213, 90, 168, 103, 117, 154]
[85, 270, 204, 165, 273, 143, 282, 149, 153, 176]
[175, 261, 199, 271, 265, 166, 244, 208, 181, 132]
[121, 291, 288, 267, 353, 180, 357, 205, 234, 198]
[160, 239, 203, 220, 251, 178, 219, 162, 174, 159]
[183, 197, 191, 207, 270, 138, 229, 129, 173, 170]
[78, 197, 133, 127, 165, 91, 159, 112, 71, 125]
