[5, 0, 3, 3, 7, 9, 3, 5, 2, 4]
[7, 6, 8, 8, 1, 6, 7, 7, 8, 1]
[5, 9, 8, 9, 4, 3, 0, 3, 5, 0]
[2, 3, 8, 1, 3, 3, 3, 7, 0, 1]
[9, 9, 0, 4, 7, 3, 2, 7, 2, 0]
[0, 4, 5, 5, 6, 8, 4, 1, 4, 9]
[8, 1, 1, 7, 9, 9, 3, 6, 7, 2]
[0, 3, 5, 9, 4, 4, 6, 4, 4, 3]
[4, 4, 8, 4, 3, 7, 5, 5, 0, 1]
[5, 9, 3, 0, 5, 0, 1, 2, 4, 2]
*
[0, 3, 2, 0, 7, 5, 9, 0, 2, 7]
[2, 9, 2, 3, 3, 2, 3, 4, 1, 2]
[9, 1, 4, 6, 8, 2, 3, 0, 0, 6]
[0, 6, 3, 3, 8, 8, 8, 2, 3, 2]
[0, 8, 8, 3, 8, 2, 8, 4, 3, 0]
[4, 3, 6, 9, 8, 0, 8, 5, 9, 0]
[9, 6, 5, 3, 1, 8, 0, 4, 9, 6]
[5, 7, 8, 8, 9, 2, 8, 6, 6, 9]
[1, 6, 8, 8, 3, 2, 3, 6, 3, 6]
[5, 7, 0, 8, 4, 6, 5, 8, 2, 3]
=
[0, 0, 6, 0, 49, 45, 27, 0, 4, 28]
[14, 54, 16, 24, 3, 12, 21, 28, 8, 2]
[45, 9, 32, 54, 32, 6, 0, 0, 0, 0]
[0, 18, 24, 3, 24, 24, 24, 14, 0, 2]
[0, 72, 0, 12, 56, 6, 16, 28, 6, 0]
[0, 12, 30, 45, 48, 0, 32, 5, 36, 0]
[72, 6, 5, 21, 9, 72, 0, 24, 63, 12]
[0, 21, 40, 72, 36, 8, 48, 24, 24, 27]
[4, 24, 64, 32, 9, 14, 15, 30, 0, 6]
[25, 63, 0, 0, 20, 0, 5, 16, 8, 6]
